id,state,county,areaname,1900,1910,1920,1930,1940,1950,1960,1970
,Alaska Territory,Northern District,Northern District,60,0,1703,1590,0,5772,fill
39069,Ohio,Henry,Henry,8,7,12,2,6,4,82
5111,Arkansas,Poinsett,Poinsett,2121,4076,4331,4697,3249,3236,2340
40077,Oklahoma,Latimer,Latimer,618,440,385,235,166,120,114
5113,Arkansas,Polk,Polk,46,9,3,2,10,0,4
37009,North Carolina,Ashe,Ashe,550,502,419,475,277,191,230
37007,North Carolina,Anson,Anson,13326,14862,15247,13924,13003,11961,10908
37005,North Carolina,Alleghany,Alleghany,340,333,343,309,268,209,236
37003,North Carolina,Alexander,Alexander,910,875,1044,938,1021,1067,1457
37001,North Carolina,Alamance,Alamance,7173,7499,8354,10592,13159,14740,17056
48365,Texas,Panola,Panola,8842,9182,10269,9720,6643,5174,4298
36029,New York,Erie,Erie,2059,4954,16312,19928,40352,74880,99081
42129,Pennsylvania,Westmoreland,Westmoreland,2641,4240,6410,6156,6203,7090,6111
48237,Texas,Jack,Jack,118,35,83,91,74,85,7
36023,New York,Cortland,Cortland,71,57,61,60,66,63,68
36021,New York,Columbia,Columbia,1103,859,1074,1114,1064,1515,1895
36027,New York,Dutchess,Dutchess,2367,2200,3169,4254,5521,9917,14489
36025,New York,Delaware,Delaware,226,143,119,103,93,173,241
48091,Texas,Comal,Comal,232,256,316,294,277,411,369
48235,Texas,Irion,Irion,1,5,6,23,10,10,6
48233,Texas,Hutchinson,Hutchinson,1,1,131,236,522,691,593
51065,Virginia,Fluvanna,Fluvanna,3374,3427,2951,2775,2498,2722,2734
48149,Texas,Fayette,Fayette,7361,6755,6921,6321,3926,2874,2065
48419,Texas,Shelby,Shelby,5274,5852,7171,7522,5916,5248,4796
48145,Texas,Falls,Falls,12612,11555,12515,12047,8590,6955,5453
48147,Texas,Fannin,Fannin,5366,5968,4618,4332,3282,2446,2163
48141,Texas,El Paso,El Paso,1562,1548,1970,2513,4182,8571,10010
48143,Texas,Erath,Erath,589,393,216,236,148,114,124
51061,Virginia,Fauquier,Fauquier,7486,6932,6272,6132,5576,6238,5858
48093,Texas,Comanche,Comanche,12,35,1,0,8,2,0
13059,Georgia,Clarke,Clarke,11767,12191,9948,10061,9928,11522,12774
48097,Texas,Cooke,Cooke,1688,1398,1235,1000,959,847,1022
45067,South Carolina,Marion,Marion,11208,13147,14911,16810,18413,17582,15297
13053,Georgia,Chattahoochee,Chattahoochee,3864,1968,2670,3023,1856,2277,4490
13051,Georgia,Chatham,Chatham,43981,49238,49707,52883,58450,63930,64122
13057,Georgia,Cherokee,Cherokee,1168,890,972,897,823,902,1181
13055,Georgia,Chattooga,Chattooga,2454,2299,1981,1811,1954,1838,1981
48231,Texas,Hunt,Hunt,4579,5713,5653,6288,6309,6408,6432
37177,North Carolina,Tyrrell,Tyrrell,1642,1476,1707,2011,2089,1974,1652
37175,North Carolina,Transylvania,Transylvania,638,631,644,841,746,854,1088
37173,North Carolina,Swain,Swain,185,115,193,182,139,70,240
37171,North Carolina,Surry,Surry,2632,2381,2716,2531,2605,2795,2501
37179,North Carolina,Union,Union,9337,8669,10048,9176,9469,9562,10370
5051,Arkansas,Garland,Garland,4665,3426,4800,5067,5580,4964,5124
54085,West Virginia,Ritchie,Ritchie,26,13,7,9,5,1,0
54087,West Virginia,Roane,Roane,18,12,14,3,23,17,47
54081,West Virginia,Raleigh,Raleigh,2052,6393,11116,12915,12574,9538,6868
54083,West Virginia,Randolph,Randolph,376,431,342,391,385,260,196
54089,West Virginia,Summers,Summers,1130,1120,1369,1076,1024,1038,539
31129,Nebraska,Nuckolls,Nuckolls,4,11,9,7,8,4,0
31127,Nebraska,Nemaha,Nemaha,19,10,11,5,6,3,53
31125,Nebraska,Nance,Nance,12,0,0,11,0,1,44
31123,Nebraska,Morrill,Morrill,6,15,2,0,5,0,5
31121,Nebraska,Merrick,Merrick,28,41,28,10,3,1,0
18149,Indiana,Starke,Starke,14,22,19,13,6,19,12
37125,North Carolina,Moore,Moore,5637,6382,9795,9328,8879,9666,9673
18141,Indiana,St Joseph,St Joseph,722,1304,3525,3702,8665,14022,18553
18143,Indiana,Scott,Scott,1,0,0,0,2,3,5
18145,Indiana,Shelby,Shelby,483,420,413,365,328,379,407
18147,Indiana,Spencer,Spencer,837,562,438,333,241,189,159
37127,North Carolina,Nash,Nash,14104,17413,23456,23353,25405,24205,21092
37121,North Carolina,Mitchell,Mitchell,343,56,56,68,49,38,40
29109,Missouri,Lawrence,Lawrence,91,81,74,53,21,47,57
46011,South Dakota,Brookings,Brookings,21,11,6,3,4,10,11
2060,Alaska,Bristol Bay Borough,Bristol Bay Borough,fill,fill,fill,fill,fill,fill,25
29101,Missouri,Johnson,Johnson,1251,1073,934,836,593,866,1358
29103,Missouri,Knox,Knox,168,124,94,66,27,18,16
37123,North Carolina,Montgomery,Montgomery,3660,3285,3730,3746,3954,4580,4780
29105,Missouri,Laclede,Laclede,216,202,198,169,136,169,125
29107,Missouri,Lafayette,Lafayette,2869,2383,1849,1588,1117,968,881
30015,Montana,Chouteau,Chouteau,56,15,4,2,1,0,0
30017,Montana,Custer,Custer,94,48,45,47,29,18,5
8019,Colorado,Clear Creek,Clear Creek,43,15,11,4,5,3,0
8017,Colorado,Cheyenne,Cheyenne,27,20,1,0,8,0,5
30011,Montana,Carter,Carter,fill,0,0,0,3,0,0
8015,Colorado,Chaffee,Chaffee,60,24,23,17,13,28,97
8013,Colorado,Boulder,Boulder,186,162,128,140,145,141,503
8011,Colorado,Bent,Bent,51,37,15,43,41,31,29
55111,Wisconsin,Sauk,Sauk,30,35,34,26,20,17,7
55113,Wisconsin,Sawyer,Sawyer,0,8,0,0,2,0,0
55115,Wisconsin,Shawano,Shawano,31,29,18,28,11,5,0
30013,Montana,Cascade,Cascade,145,229,214,163,221,517,1033
55117,Wisconsin,Sheboygan,Sheboygan,19,1,3,2,23,6,140
55119,Wisconsin,Taylor,Taylor,24,31,19,1,1,1,0
34041,New Jersey,Warren,Warren,364,272,303,350,325,542,716
46013,South Dakota,Brown,Brown,74,27,15,26,7,4,20
35061,New Mexico,Valencia,Valencia,fill,7,4,8,32,117,157
51161,Virginia,Roanoke,Roanoke,3525,2877,3269,3335,3498,3662,1826
8081,Colorado,Moffat,Moffat,fill,6,1,2,3,7,5
47035,Tennessee,Cumberland,Cumberland,63,25,70,1,7,2,10
47037,Tennessee,Davidson,Davidson,46710,44528,51797,56797,64381,76437,87856
47031,Tennessee,Coffee,Coffee,1624,1495,1301,1086,1018,1010,1185
47033,Tennessee,Crockett,Crockett,3611,3632,3433,3598,3597,3565,3007
47039,Tennessee,Decatur,Decatur,1019,914,875,640,568,532,473
18115,Indiana,Ohio,Ohio,144,103,87,60,56,52,31
55029,Wisconsin,Door,Door,3,7,1,1,5,10,4
19149,Iowa,Plymouth,Plymouth,10,0,0,0,4,2,40
39171,Ohio,Williams,Williams,5,7,11,4,9,4,11
19147,Iowa,Palo Alto,Palo Alto,4,0,0,0,2,2,5
39173,Ohio,Wood,Wood,150,293,540,280,308,380,374
19145,Iowa,Page,Page,262,250,225,199,106,48,59
39175,Ohio,Wyandot,Wyandot,21,14,11,5,5,0,49
19143,Iowa,Osceola,Osceola,6,7,0,1,3,0,0
55023,Wisconsin,Crawford,Crawford,3,0,2,3,2,4,9
19141,Iowa,O Brien,O Brien,2,18,4,1,0,3,0
30049,Montana,Lewis And Clark,Lewis And Clark,430,226,139,161,96,71,14
22019,Louisiana,Calcasieu,Calcasieu,16562,8736,12112,14952,20563,30239,31442
22013,Louisiana,Bienville,Bienville,9464,8619,10624,11491,9407,8255,7516
22011,Louisiana,Beauregard,Beauregard,fill,6105,3177,2593,3023,4295,4263
22017,Louisiana,Caddo,Caddo,36142,37801,57041,63793,66361,81486,83345
22015,Louisiana,Bossier,Bossier,16735,15730,17846,16654,13883,14241,12184
46129,South Dakota,Walworth,Walworth,0,11,22,11,9,7,0
46121,South Dakota,Todd,Todd,5,1,1,3,22,7,0
46123,South Dakota,Tripp,Tripp,5,15,8,6,4,0,8
46125,South Dakota,Turner,Turner,0,17,1,0,1,0,0
46127,South Dakota,Union,Union,2,3,3,0,0,15,5
27143,Minnesota,Sibley,Sibley,6,5,0,2,3,3,0
16065,Idaho,Madison,Madison,fill,4,1,2,4,2,0
27141,Minnesota,Sherburne,Sherburne,9,15,31,27,38,62,106
16067,Idaho,Minidoka,Minidoka,fill,10,4,0,2,34,38
27147,Minnesota,Steele,Steele,20,12,19,15,9,11,0
16061,Idaho,Lewis,Lewis,fill,0,0,1,4,0,17
27145,Minnesota,Stearns,Stearns,14,41,23,19,50,43,129
16063,Idaho,Lincoln,Lincoln,28,8,2,1,3,0,0
27149,Minnesota,Stevens,Stevens,2,1,0,0,1,0,5
18119,Indiana,Owen,Owen,89,57,42,16,23,15,7
39009,Ohio,Athens,Athens,1240,1350,1088,1182,980,1014,1206
16069,Idaho,Nez Perce,Nez Perce,48,45,35,20,26,7,32
21113,Kentucky,Jessamine,Jessamine,2962,2276,1951,1580,1155,1254,1159
21111,Kentucky,Jefferson,Jefferson,45794,44448,51068,51166,62620,78350,95393
21117,Kentucky,Kenton,Kenton,3228,3325,3870,3523,3972,3861,3620
21115,Kentucky,Johnson,Johnson,47,67,46,14,3,1,0
48447,Texas,Throckmorton,Throckmorton,11,11,9,1,1,4,0
21119,Kentucky,Knott,Knott,157,153,229,268,158,170,110
56047,Wyoming,Yellowstone National Park,Yellowstone National Park,4,1,0,0,0,1,fill
56045,Wyoming,Weston,Weston,5,8,9,5,6,6,5
32009,Nevada,Esmeralda,Esmeralda,99,21,5,2,1,0,0
32005,Nevada,Douglas,Douglas,7,4,2,0,3,0,0
32007,Nevada,Elko,Elko,38,34,75,78,153,121,102
32001,Nevada,Churchill,Churchill,1,12,1,1,10,64,100
32003,Nevada,Clark,Clark,12,60,150,178,3174,11005,24668
42021,Pennsylvania,Cambria,Cambria,640,2492,2086,2356,3062,3526,3496
26141,Michigan,Presque Isle,Presque Isle,3,2,1,1,3,2,0
42023,Pennsylvania,Cameron,Cameron,31,46,21,22,6,11,2
26143,Michigan,Roscommon,Roscommon,2,20,2,25,2,0,13
42025,Pennsylvania,Carbon,Carbon,27,25,33,6,16,34,32
26145,Michigan,Saginaw,Saginaw,343,388,2915,3417,9086,18777,26840
42027,Pennsylvania,Centre,Centre,265,369,420,398,425,611,1396
12009,Florida,Brevard,Brevard,1399,2483,4199,5256,5984,12334,20664
42029,Pennsylvania,Chester,Chester,10622,11386,13153,13043,14962,17374,21085
26149,Michigan,St Joseph,St Joseph,88,79,133,133,309,635,1031
12005,Florida,Bay,Bay,fill,2757,3087,4220,7139,9894,9643
12003,Florida,Baker,Baker,1159,1422,1781,1511,1541,1597,1850
12001,Florida,Alachua,Alachua,19092,14573,15313,15984,16526,19412,21566
51107,Virginia,Loudoun,Loudoun,5221,4810,4347,4094,3980,4335,4660
48129,Texas,Donley,Donley,38,34,177,236,253,215,166
51103,Virginia,Lancaster,Lancaster,5139,5003,3970,3794,3561,3635,3535
51101,Virginia,King William,King William,4855,4603,3805,3795,3269,3351,3189
51109,Virginia,Louisa,Louisa,7883,7803,5841,5550,5109,5145,5399
13289,Georgia,Twiggs,Twiggs,7396,6653,5335,5864,5144,4771,4627
13287,Georgia,Turner,Turner,4018,4924,3866,3810,3881,3112,3098
13285,Georgia,Troup,Troup,15399,16965,15092,16352,16095,15760,14046
13283,Georgia,Treutlen,Treutlen,fill,2777,2473,2299,1939,1943,1845
13281,Georgia,Towns,Towns,15,0,0,0,3,1,0
46099,South Dakota,Minnehaha,Minnehaha,72,83,103,139,280,176,191
2050,Alaska,Bethel,Bethel,fill,fill,fill,fill,fill,fill,5
31163,Nebraska,Sherman,Sherman,5,0,1,3,0,1,0
48219,Texas,Hockley,Hockley,0,0,92,385,940,1237,896
48127,Texas,Dimmit,Dimmit,29,31,18,24,63,53,47
53039,Washington,Klikatat,Klikatat,33,34,15,9,8,6,8
30063,Montana,Missoula,Missoula,133,102,121,78,52,54,110
26039,Michigan,Crawford,Crawford,2,0,12,0,4,109,84
46095,South Dakota,Mellette,Mellette,0,14,13,5,11,0,0
26035,Michigan,Clare,Clare,3,6,3,0,3,1,19
12131,Florida,Walton,Walton,4997,2431,2724,1995,1956,2107,1788
26031,Michigan,Cheboygan,Cheboygan,34,25,33,11,26,7,17
26033,Michigan,Chippewa,Chippewa,43,62,30,19,25,278,793
49045,Utah,Tooele,Tooele,7,1,3,0,42,217,131
48229,Texas,Hudspeth,Hudspeth,fill,11,20,131,25,13,9
20089,Kansas,Jewell,Jewell,0,7,6,5,5,2,5
20087,Kansas,Jefferson,Jefferson,451,383,310,184,98,100,88
20085,Kansas,Jackson,Jackson,153,101,89,53,35,23,14
30067,Montana,Park,Park,21,40,5,3,11,8,0
20083,Kansas,Hodgeman,Hodgeman,67,108,55,27,5,20,50
20081,Kansas,Haskell,Haskell,9,0,0,0,0,1,0
49043,Utah,Summit,Summit,1,4,12,3,5,5,0
30069,Montana,Petroleum,Petroleum,fill,fill,3,0,0,0,0
49041,Utah,Sevier,Sevier,0,1,0,0,1,1,5
36017,New York,Chenango,Chenango,196,139,167,221,178,204,149
37019,North Carolina,Brunswick,Brunswick,5406,5373,5928,5792,7031,7159,7179
13199,Georgia,Meriwether,Meriwether,14730,14594,11766,11719,10718,9777,9322
36013,New York,Chautauqua,Chautauqua,169,298,471,400,755,1259,1379
36011,New York,Cayuga,Cayuga,661,563,541,698,1007,1329,1805
13193,Georgia,Macon,Macon,10581,12027,11192,10894,9396,8297,7892
55017,Wisconsin,Chippewa,Chippewa,7,24,14,23,142,3,5
13191,Georgia,McIntosh,Mcintosh,4978,3803,3876,3157,3672,3690,3679
37013,North Carolina,Beaufort,Beaufort,12941,12093,13535,13799,13862,13276,11935
13197,Georgia,Marion,Marion,5364,4097,3915,3825,3858,3289,2674
37015,North Carolina,Bertie,Bertie,13503,13639,14616,14877,15809,14447,11613
13195,Georgia,Madison,Madison,5149,5269,2834,2604,2330,2088,1894
37017,North Carolina,Bladen,Bladen,8392,8110,9203,10951,12163,11958,10316
48311,Texas,McMullen,Mcmullen,58,8,25,2,5,0,0
48313,Texas,Madison,Madison,2757,3127,3456,3863,2618,2236,2349
48315,Texas,Marion,Marion,6725,6667,6456,6716,5782,4210,3829
48317,Texas,Martin,Martin,1,0,116,130,263,209,164
48319,Texas,Mason,Mason,70,49,57,100,64,23,5
48139,Texas,Ellis,Ellis,9623,12662,12610,10694,10843,10243,8602
48429,Texas,Stephens,Stephens,4,62,447,333,359,395,405
48131,Texas,Duval,Duval,8,1,17,122,23,7,0
48133,Texas,Eastland,Eastland,57,665,701,514,313,344,396
48135,Texas,Ector,Ector,0,0,123,517,1571,4814,4546
48137,Texas,Edwards,Edwards,4,3,9,11,13,7,3
47175,Tennessee,Van Buren,Van Buren,48,50,65,81,23,31,26
13067,Georgia,Cobb,Cobb,7418,6645,6540,6280,6214,8032,8216
36075,New York,Oswego,Oswego,437,112,76,55,125,194,247
13065,Georgia,Clinch,Clinch,3378,2957,3049,2499,2104,2471,2032
13063,Georgia,Clayton,Clayton,4632,5006,3250,2984,3768,4745,4447
55011,Wisconsin,Buffalo,Buffalo,1,0,0,0,0,2,0
13061,Georgia,Clay,Clay,6569,5074,4533,4987,4071,2837,2242
47177,Tennessee,Warren,Warren,1949,1562,1358,1322,1245,1117,1211
13069,Georgia,Coffee,Coffee,7734,5902,5246,5376,5786,5979,5886
13265,Georgia,Taliaferro,Taliaferro,6450,6230,4222,4281,2971,2096,1536
13267,Georgia,Tattnall,Tattnall,5841,3550,3328,4167,4097,5033,5111
13261,Georgia,Sumter,Sumter,21243,19862,17390,14997,13290,13015,11945
13263,Georgia,Talbot,Talbot,8230,7995,5828,5681,5355,4975,4495
13269,Georgia,Taylor,Taylor,5379,5521,5242,5182,4357,4012,3520
18171,Indiana,Warren,Warren,18,15,17,24,0,0,0
45089,South Carolina,Williamsburg,Williamsburg,23214,25452,23341,27269,29627,27171,20867
48045,Texas,Briscoe,Briscoe,0,0,92,94,98,191,73
48047,Texas,Brooks,Brooks,fill,17,18,40,39,11,0
48217,Texas,Hill,Hill,4856,5441,5913,5086,4677,3665,2882
48041,Texas,Brazos,Brazos,8827,9148,9064,10011,9192,9340,9343
48043,Texas,Brewster,Brewster,71,33,53,69,40,44,26
40081,Oklahoma,Lincoln,Lincoln,3945,3955,3272,2617,1633,1168,858
26153,Michigan,Schoolcraft,Schoolcraft,5,9,3,6,17,6,0
40083,Oklahoma,Logan,Logan,8196,6422,6487,5389,4968,3820,4080
48049,Texas,Brown,Brown,525,431,589,571,906,743,885
40087,Oklahoma,McClain,Mcclain,1081,776,667,553,452,325,258
20065,Kansas,Graham,Graham,595,413,429,365,265,195,152
37161,North Carolina,Rutherford,Rutherford,4288,4451,5362,6132,5678,5391,5037
20067,Kansas,Grant,Grant,21,17,15,2,2,1,25
37163,North Carolina,Sampson,Sampson,10043,12144,13670,16412,17526,17251,15494
20061,Kansas,Geary,Geary,587,941,1030,1242,1570,3370,3454
37165,North Carolina,Scotland,Scotland,8473,9210,10799,11654,11524,10374,9091
20063,Kansas,Gove,Gove,55,58,39,17,15,8,0
37167,North Carolina,Stanly,Stanly,2132,3543,3531,3914,4227,4482,4662
36079,New York,Putnam,Putnam,190,66,113,145,84,116,115
20069,Kansas,Gray,Gray,14,19,9,18,19,14,0
2270,Alaska,Wade Hampton,Wade Hampton,fill,fill,fill,fill,fill,fill,8
13279,Georgia,Toombs,Toombs,3411,3828,4890,4516,4777,4731,5134
31119,Nebraska,Madison,Madison,61,53,41,28,28,61,17
31113,Nebraska,Logan,Logan,0,9,10,0,0,0,0
31111,Nebraska,Lincoln,Lincoln,25,71,35,36,68,92,62
31117,Nebraska,McPherson,Mcpherson,3,2,0,0,0,0,0
31115,Nebraska,Loup,Loup,4,0,0,0,2,0,5
48211,Texas,Hemphill,Hemphill,0,2,9,2,1,0,0
18159,Indiana,Tipton,Tipton,9,4,0,1,5,1,13
26159,Michigan,Van Buren,Van Buren,535,378,456,747,1764,3286,4488
18153,Indiana,Sullivan,Sullivan,120,105,91,55,47,44,36
18151,Indiana,Steuben,Steuben,22,10,21,8,12,25,10
18157,Indiana,Tippecanoe,Tippecanoe,387,397,455,388,392,632,1082
18155,Indiana,Switzerland,Switzerland,48,38,23,25,18,11,0
51117,Virginia,Mecklenburg,Mecklenburg,16394,16586,17187,16319,16557,14703,12404
29119,Missouri,McDonald,Mcdonald,2,0,0,0,1,5,0
29113,Missouri,Lincoln,Lincoln,1362,1105,847,736,585,543,611
29111,Missouri,Lewis,Lewis,776,605,535,566,453,467,469
29117,Missouri,Livingston,Livingston,596,417,445,399,309,336,247
29115,Missouri,Linn,Linn,668,462,506,454,287,225,267
51033,Virginia,Caroline,Caroline,8750,8077,7730,7002,6377,6594,7074
55063,Wisconsin,La Crosse,La Crosse,74,41,52,31,33,25,144
8029,Colorado,Delta,Delta,9,4,1,1,8,5,15
8023,Colorado,Costilla,Costilla,22,0,1,1,2,1,0
8021,Colorado,Conejos,Conejos,49,18,4,2,11,3,0
8027,Colorado,Custer,Custer,1,0,36,2,0,0,0
51037,Virginia,Charlotte,Charlotte,8335,7537,6742,6692,5748,5329,4599
55103,Wisconsin,Richland,Richland,13,15,11,11,23,15,29
55101,Wisconsin,Racine,Racine,115,328,519,484,1844,5289,10645
55107,Wisconsin,Rusk,Rusk,2,12,15,12,5,12,12
55105,Wisconsin,Rock,Rock,157,880,897,1077,1529,2294,3182
46007,South Dakota,Bennett,Bennett,0,0,0,0,1,3,0
51035,Virginia,Carroll,Carroll,268,207,374,332,392,74,105
55069,Wisconsin,Lincoln,Lincoln,12,7,7,7,12,13,31
40099,Oklahoma,Murray,Murray,423,339,346,403,304,267,189
48363,Texas,Palo Pinto,Palo Pinto,528,732,652,552,668,878,1126
47027,Tennessee,Clay,Clay,289,256,285,279,241,166,126
47025,Tennessee,Claiborne,Claiborne,819,563,573,515,353,304,151
47023,Tennessee,Chester,Chester,1571,1587,1881,1792,1431,1284,1274
47021,Tennessee,Cheatham,Cheatham,1593,1127,817,891,733,623,592
12115,Florida,Sarasota,Sarasota,fill,fill,2803,3574,4599,7412,8066
47029,Tennessee,Cocke,Cocke,1051,849,726,671,635,712,699
19179,Iowa,Wapello,Wapello,624,571,447,485,484,468,315
39169,Ohio,Wayne,Wayne,70,131,308,372,478,1075,1375
55039,Wisconsin,Fond du Lac,Fond Du Lac,54,59,22,20,59,54,131
19173,Iowa,Taylor,Taylor,61,34,19,12,7,7,5
39163,Ohio,Vinton,Vinton,213,42,218,22,20,16,22
19171,Iowa,Tama,Tama,33,25,13,17,18,46,20
39161,Ohio,Van Wert,Van Wert,327,245,145,117,98,97,114
19177,Iowa,Van Buren,Van Buren,60,49,44,13,8,6,7
39167,Ohio,Washington,Washington,1378,1165,1185,1143,865,843,603
19175,Iowa,Union,Union,70,59,59,22,12,9,23
39165,Ohio,Warren,Warren,729,717,741,674,861,909,1249
22027,Louisiana,Claiborne,Claiborne,14938,14798,18042,17083,12952,9755,8514
22025,Louisiana,Catahoula,Catahoula,5195,5122,4651,5345,4145,4015,3441
