1925,New Recording Technology-Electrical recording technology is introduced.
1925,Blind Lemon Jefferson is first recorded. He will become the dominant blues figure of the late 1920s and the first star of the folk blues.
1925,Introduction of the electrical recording process
1925,Standardisation of speed of disc recording to 78rpm
1925,Standardization of form of the Blues into 8 or 12 bar chorus
1926,"Texas born Blind Lemon Jefferson records in Chicago. The success of these recordings revolutionized Race Records, which had previously relied on female band vocalists with established reputations."
1926,"Texas born Blind Lemon Jefferson records in Chicago. The success of these recordings revolutionized Race Records, which had previously relied on female band vocalists with established reputations."
1926,Okeh Records Race Series
1927, Eddie James “Son” House records
1927,"Texas born Blind Willie Johnson records in Dallas, TX. These and all of his subsequent recordings blurred the lines between blues and gospel music."
1927,"Texas born Blind Lemon Jefferson records in Chicago. The success of these recordings revolutionized Race Records, which had previously relied on female band vocalists with established reputations."
1927,Lindy-hop introduced leading to the jitterbug and jive
1928,"Mississippi Native John Hurt, better known as Mississippi John Hurt, records for Okeh records in New York and Memphis."
1928,"Georgia Born Tampa Red records ""It's Tight Like That"". This song is considered a predecessor to urban blues and spurned numerous imitators of the song and the style."
1928,"Mississippi Native John Hurt, better known as Mississippi John Hurt, records for Okeh records in New York and Memphis."
1928,Georgia Born Tampa Red records “It’s Tight Like That”. This song is considered a predecessor to urban blues and spurned numerous imitators of the song and the style.
1929, Great Depression in the United States blacks migrated north along the route of the Illinois Central Railroad toward Chicago. New type of blues was made 
1929, The early Delta bluesman Charley Patton recorded first song
1929,Charley Patton-The early Delta bluesman Charley Patton is first recorded.
1929,"Mississippi Born Charlie Patton records 14 songs for Paramount Records in Richmond, Indiana. Charlie Patton would influence countless blues guitarists and musicians, including Son House and Robert Johnson."
1929,"The Wall Street Crash of 1929 begins on Black Thursday, signaling the beginning of the Great Depression in the United States. Amid widespread economic ruin, sales of records and phonographs plummet, crippling the recording industry."
1929,Blind Lemon Jefferson dies in Chicago. Both his music and his success had a tremendous impact blues musicians across the Southern United States.
1929,"Mississippi Born Charlie Patton records 14 songs for Paramount Records in Richmond, Indiana. Charlie Patton would influence countless blues guitarists and musicians, including Son House and Robert Johnson."
1929,Blind Lemon Jefferson dies in Chicago. Both his music and his success had a tremendous impact blues musicians across the Southern United States.
1931,Invention of the Microphone
1932,Bluebird Records
1933,"Louisiana born Huddie Ledbetter, better known as Leadbelly, is recorded by John and Alan Lomax at the Louisiana State Penitentiary at Angola. Leadbelly, not exclusively a blues artist, introduced the blues to a wider audience. He was the first folk blues artist to present his music in concert to white audiences outside the South."
1933,"Louisiana born Huddie Ledbetter, better known as Leadbelly, is recorded by John and Alan Lomax at the Louisiana State Penitentiary at Angola. Leadbelly, not exclusively a blues artist, introduced the blues to a wider audience. He was the first folk blues artist to present his music in concert to white audiences outside the South."
1933,Electrification of Tennessee Valley
1933,Repeal of Prohibition Act
1934,"Charlie Patton dies near Holly Ridge, Mississippi. He is considered by some to be the most influential blues musician on his contemporaries. Directly influencing Son House, Robert Johnson, Howlin' Wolf, Bukka White, Big Joe Williams, Furry Lewis and Tommy Johnson, to name a few."
1934,"Charlie Patton dies near Holly Ridge, Mississippi. He is considered by some to be the most influential blues musician on his contemporaries. Directly influencing Son House, Robert Johnson, Howlin’ Wolf, Bukka White, Big Joe Williams, Furry Lewis and Tommy Johnson, to name a few."
1935,Rockola mass-production of Jukeboxes
1936,"Mississippi born Robert Johnson records for the first time in San Antonio, Texas."
1936,Robert Johnson-Legendary Delta bluesman Robert Johnson begins his short recording career.
1936,"Mississippi born Robert Johnson records for the first time in San Antonio, Texas."
1938,"Robert Johnson dies near Greenwood, Mississippi at age 26. The cause of his death is widely disputed, but it is believed that he was murdered by a jealous husband who poisoned Robert's Whiskey. Some consider Robert Johnson the most influential of early blues musicians and his direct influence is still felt today."
1938,"Robert Johnson dies near Greenwood, Mississippi at age 26. The cause of his death is widely disputed, but it is believed that he was murdered by a jealous husband who poisoned Robert’s Whiskey. Some consider Robert Johnson the most influential of early blues musicians and his direct influence is still felt today."
1938,First recording of the electric guitar
1939,"Electric Guitar-Eddie Durham records the first music featuring the electric guitar. The modern instrument, first developed by musician George Beauchamp and engineer Adolph Rickenbacher in the early 1930s, will help to transform the sound of the blues."
1940,Decca Sepia series
1941,"Alan Lomax records McKinley Morganfield, better known as Muddy Waters, for the Library of Congress on Stovall's plantation near Clarksdale, Mississippi."
1941,"Alex Rice Miller, aka Sonny Boy Williamson (#2), begins performing live on the radio (KFFA) in Helena, Arkansas. 'The King Biscuit Hour' was fairly popular and made Sonny Boy a Delta radio star."
1941,"Muddy Waters Recorded-Alan Lomax records McKinley Morganfield, better known as Muddy Waters, for the Library of Congress at Stovall's Farm in Mississippi."
1941,"U.S. Enters World War II; Migration Continues-The Japanese bombing attack on Pearl Harbor marks the entry of the United States into World War II. As had been the case during World War I, economic and military mobilization creates new opportunities for African Americans, particularly in the urban centers of the North."
1941,"Alan Lomax records McKinley Morganfield, better known as Muddy Waters, for the Library of Congress on Stovall’s plantation near Clarksdale, Mississippi."
1941,"Alex Rice Miller, aka Sonny Boy Williamson (#2), begins performing live on the radio (KFFA) in Helena, Arkansas. ‘The King Biscuit Hour’ was fairly popular and made Sonny Boy a Delta radio star."
1941,First Bebop Sessions
1942,AFM Musicians strike
1942,Billboard Harlem Hit Parade
1942,Savoy Records
1943,"Muddy Waters boards a train from Clarksdale, Mississippi to Chicago, Illinois. This trip is symbolically viewed as the first step in rural country blues' transformation into urban blues."
1943,"Muddy Waters boards a train from Clarksdale, Mississippi to Chicago, Illinois. This trip is symbolically viewed as the first step in rural country blues’ transformation into urban blues."
1944,Louis Jordan G.I.Jive #1 in pop charts
1944,King Records
1946,"Mississippi Born Arthur 'Big Boy' Crudup records ""That's Alright Mama"" for Blue Bird records in Chicago."
1946,"Arthur ""Big Boy"" Crudup records ""That's All Right,"" a tune that recalls Blind Lemon Jefferson's ""That Black Snake Moan"" from twenty years earlier. Within a decade, Elvis Presley will record ""That's All Right"" for his debut."
1946,Mississippi Born Arthur ‘Big Boy’ Crudup records “That’s Alright Mama” for Blue Bird records in Chicago.
1946,First mass-produced television sets
1947, Muddy Waters makes his first Chicago recordings
1947,"T-Bone Walker Goes Electric-Bluesman T-Bone Walker plays electric guitar on the recording of his standard ""Call it Stormy Monday."""
1947,"Muddy Waters and Chicago Blues-Muddy Waters makes his first Chicago recordings, beginning his tenure as the dominant figure in the Chicago blues and a key link between the Mississippi Delta and the urban styles."
1948,WDIA Memphis - first black radio station
1948,Columbia unveils 33rpm microgroove album
1949,"""Rhythm and Blues"" is Born-Jerry Wexler, an editor at Billboard magazine, substitutes the term ""rhythm and blues"" for the older ""race"" records"
1949,Billboard Rhythm & Blues Chart
1949,RCA introduces 45rpm vinyl record
1950,Introduction of 45rpm Jukebox.
1950,Sun Records
1952, B.B. King has his first major rhythm and blues hit with a version of “Three O’Clock Blues.”
1952,"B.B. King-B.B. King has his first major rhythm and blues hit with a version of ""Three O'Clock Blues."""
1952,Whites start picking up transmissions from black radio
1954,"Elvis Debuts-Elvis Presley makes his recording debut on Sun Records with a version of Arthur ""Big Boy"" Crudup's ""That's All Right."""
1954,"Brown v. Board-The Supreme Court rules on Brown v. Board of Education, a unanimous judgment in favor of school desegregation."
1954,"Elvis Presley records Arthur 'Big Boy' Crudup's ""That's Alright Mama"" for Sun Records in Memphis, TN. This record launched Elvis' career and a musical style called Rock and Roll."
1954,"Elvis Presley records Arthur ‘Big Boy’ Crudup’s “That’s Alright Mama” for Sun Records in Memphis, TN. This record launched Elvis’ career and a musical style called Rock and Roll."
1954,Mambo craze in America
1954,July Chords Sh-boom #5 in pop charts
1954,August Bill Haley Shake Rattle & Roll # 7 in pop charts
1954,December Alan Freed’s Rock’n’Roll Show
1955,1st hits for Bo Diddley & Chuck Berry
1956,1st hits for James Brown & Elvis Presley
1959,"The Country Blues-Samuel Charters publishes The Country Blues, fueling the blues element of the folk music revival."
1960, Muddy Waters performs at the Newport Jazz Festival to tremendous acclaim.
1960,Muddy Waters Performs-Muddy Waters performs at the Newport Jazz Festival to tremendous acclaim.
1961,Columbia Records releases selections of Robert Johnson's recordings on LP. This release was critical in the popularity of blues in England in years to come.
1961,Robert Johnson Revival-John Hammond pushes to have a selection of Robert Johnson's recordings reissued on LP by Columbia.
1961,Columbia Records releases selections of Robert Johnson’s recordings on LP. This release was critical in the popularity of blues in England in years to come.
1963,"Mississippi John Hurt, assumed to be deceased by many, is found living in Avalon, Mississippi. Still playing and singing his folk-blues in the same manner as he did in 1928 , he is asked to tour. Hurt, the first of the 'rediscovered' early blues artists, was a big success on the coffeehouse and folk festival circuit until his death in 1966."
1963,"Eric Clapton and the Yardbirds record John Lee Hooker's ""Boom Boom"" among other blues standards in Surrey, England. The blues begins to catch on in England and Europe."
1963,"Mississippi John Hurt, assumed to be deceased by many, is found living in Avalon, Mississippi. Still playing and singing his folk-blues in the same manner as he did in 1928 , he is asked to tour. Hurt, the first of the ‘rediscovered’ early blues artists, was a big success on the coffeehouse and folk festival circuit until his death in 1966."
1963,"Eric Clapton and the Yardbirds record John Lee Hooker’s “Boom Boom” among other blues standards in Surrey, England. The blues begins to catch on in England and Europe."
1963,Billboard suspends R&B chart
1963,1st hit for Otis Redding
1963,1st hit for Motown writers Holland/Dozier/Holland
1964, Delta bluesmen Son House and Skip James perform at the Newport Folk Festival.
1964, The first U.S. tour by the Rolling Stones marks the invasion of British blues rock bands.
1964,British Invasion-The first U.S. tour by the Rolling Stones marks the invasion of British blues rock bands.
1964,"Freedom Summer-Freedom Summer, the civil rights campaign to register black voters, draws young whites to the South."
1964,"Delta Bluesmen Perform-The recently ""rediscovered"" Delta bluesmen Son House and Skip James perform at the Newport Folk Festival."
1964,Beatles 1st hit in USA
1965,Rolling Stones force Shindig to include Howlin’ Wolf on their TV special
1969," Muddy Waters and B.B. King perform at the Fillmore East, a concert venue in the East Village region of New York City, to a predominantly white audience."
1969,"White Fan Base-Muddy Waters and B.B. King perform at the Fillmore East, a concert venue in the East Village region of New York City, to a predominantly white audience."
1990," Columbia’s release of the complete Robert Johnson recordings on CD goes gold, selling 400,000 albums in six months."
1/1/1958,st stereo record release
